x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Satyadeo Prasad Singh,"70,965",42.8%,Rashtriya Janata Dal
2,2,Devesh Kant Singh,"63,314",38.1%,Bharatiya Janta Party
3,3,Tribhuwan Ram,"5,230",3.2%,Independent
4,4,Renu Yadav,"4,016",2.4%,Independent
5,5,Ashok Kumar Singh,"3,060",1.8%,Independent
6,6,Tarkeshwar Yadav,"2,921",1.8%,Communist Party Of India
7,7,Lal Babu Sharma,"2,890",1.7%,Independent
8,8,Raj Kapur Prasad Yadav,"2,010",1.2%,Bahujan Samaj Party
9,9,Chandrama Sah,"1,581",1.0%,Independent
10,10,Ramayan Singh,"1,575",1.0%,Independent
11,11,Uma Shankar Tiwari,"1,530",0.9%,Bhartiya New Sanskar Krantikari Party
12,12,Vijay Kumar Singh,"1,236",0.7%,Independent
13,13,Surendra Singh Yadav,"1,047",0.6%,Samajwadi Party
14,14,Akhileshwar Mishra,844,0.5%,Independent
15,15,Sandhir Kumar Singh,539,0.3%,Aarakshan Virodhi Party
16,16,Nayan Prasad,487,0.3%,Bharat Ka Kisan Majdoor Party
17,17,Fazale Ali,469,0.3%,Garib Janta Dal (Secular)
