x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ram Prit Paswan,"71,614",46.2%,Bharatiya Janta Party
2,2,Ramawatar Paswan,"65,372",42.2%,Rashtriya Janata Dal
3,3,Maheswar Ram,"2,650",1.7%,Bahujan Samaj Party
4,4,Rakesh Kumar,"2,271",1.5%,Independent
5,5,Vishnath Paswan,"2,029",1.3%,Independent
6,6,Utim Paswan,"1,945",1.3%,Communist Party Of India (Marxist-Leninist) (Liberation)
7,7,Pawas Kumar Paswan,"1,349",0.9%,Samajwadi Party
8,8,Chhedi Ram,"1,181",0.8%,Independent
9,9,Ram Chandra Mandal,"1,055",0.7%,National Jagaran Party
10,10,Siyaram Saday,"1,025",0.7%,Samajwadi Janata Dal Democratic
11,11,Umesh Paswan,967,0.6%,Akhil Bhartiya Mithila Party
