x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sunil Choudhary,"69,511",46.9%,Janata Dal (United)
2,2,Gopal Jee Thakur,"43,068",29.0%,Bharatiya Janta Party
3,3,"Kamalramvinod Jha ""kamal Seth""","10,154",6.9%,Independent
4,4,Vinod Kumar Jha,"6,061",4.1%,Independent
5,5,Siyalakhan Yadav,"2,459",1.7%,Independent
6,6,"Sunil Kumar Jha ""moti Babu""","2,340",1.6%,Independent
7,7,Ram Naresh Roy,"2,299",1.6%,Communist Party Of India
8,8,Laxman Ram,"1,685",1.1%,Bahujan Samaj Party
9,9,Vinoda Nand Jha,"1,385",0.9%,Independent
10,10,Krishna Kant Jha,"1,350",0.9%,Sarvajan Kalyan Loktantrik Party
11,11,Jitendra Paswan,"1,284",0.9%,Independent
12,12,Tara Kant Jha,796,0.5%,Independent
13,13,Baidyanath Yadav,778,0.5%,Garib Janta Dal (Secular)
14,14,Naval Kishor Singh,499,0.3%,Samajwadi Party
