x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Giridhari Yadav,"70,348",44.6%,Janata Dal (United)
2,2,Manoj Yadav,"54,157",34.3%,Bharatiya Janta Party
3,3,Raj Kishor Prasad Urf Pappu Yadav,"10,408",6.6%,Jharkhand Mukti Morcha
4,4,Naresh Kumar Priyadarshi,"3,007",1.9%,Independent
5,5,Saryug Pandit,"2,918",1.9%,Independent
6,6,Shiv Kumar Singh,"2,463",1.6%,Bahujan Samaj Party
7,7,Pankaj Kumar Singh,"1,434",0.9%,Independent
8,8,Lakhan Lal Deo,"1,422",0.9%,Samras Samaj Party
9,9,Ravindra Mandal,"1,294",0.8%,Independent
10,10,Amrit Tanti,"1,159",0.7%,Independent
11,11,Arjun Pal,978,0.6%,Socialist Unity Centre Of India (COMMUNIST)
