x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ram Narayan Mandal,"52,379",38.4%,Bharatiya Janta Party
2,2,Zafrul Hoda,"48,649",35.6%,Rashtriya Janata Dal
3,3,Ajit Kumar Singh,"16,548",12.1%,Bahujan Samaj Party
4,4,Manoj Singh,"5,191",3.8%,Independent
5,5,Digambar Mandal,"4,071",3.0%,Independent
6,6,Makhan Yadav,"2,018",1.5%,Independent
7,7,Rajendra Ray,"1,579",1.2%,Independent
8,8,Umakant Yadav,"1,240",0.9%,Bhartiya Dalit Party
9,9,Renu Kumari,679,0.5%,Communist Party Of India (Marxist-Leninist) (Liberation)
10,10,Abdul Kadir,594,0.4%,Independent
11,11,Rakesh Ranjan,577,0.4%,Garib Janta Dal (Secular)
