x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Poonam Devi Yadav,"64,767",46.4%,Janata Dal (United)
2,2,Rajesh Kumar Urf Rohit Kumar,"39,202",28.1%,Hindustani Awam Morcha (Secular)
3,3,Manohar Kumar Yadav,"12,791",9.2%,Jan Adhikar Party (Loktantrik)
4,4,Mukesh Kumar,"3,701",2.7%,Independent
5,5,Sanjay Kumar,"3,508",2.5%,Communist Party Of India (MARXIST)
6,6,Gopal Krishna Kumar Chandan,"3,115",2.2%,Independent
7,7,Manoj Kumar,"2,155",1.5%,Bahujan Mukti Party
8,8,Birendra Kumar,"1,348",1.0%,Independent
9,9,Babita Devi,"1,124",0.8%,Independent
10,10,Birendra Yadav,917,0.7%,Independent
11,11,Shiv Narayan Singh,787,0.6%,Independent
12,12,Ganesh Thakur,753,0.5%,Garib Janta Dal (Secular)
13,13,Umesh Thakur,646,0.5%,Naya Daur Party
