x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dr. Abdul Ghafoor,"56,436",38.8%,Rashtriya Janata Dal
2,2,Chandan Kumar Sah,"30,301",20.8%,Rashtriya Lok Samta Party
3,3,Gautam Krishna,"19,958",13.7%,Jan Adhikar Party (Loktantrik)
4,4,Punam Deo,"11,361",7.8%,Independent
5,5,Surendra Yadav,"6,281",4.3%,Independent
6,6,Bimal Kant Jha,"2,409",1.7%,Independent
7,7,Rajkishor Sada,"1,835",1.3%,Independent
8,8,Nanhe Khan,"1,777",1.2%,Bahujan Samaj Party
9,9,Subodh Panday,"1,702",1.2%,Independent
10,10,Maharudra Jha,"1,096",0.8%,Independent
11,11,Nausad Alam,"1,074",0.7%,Independent
12,12,Lalan Yadav,"1,034",0.7%,Communist Party Of India (Marxist-Leninist) (Liberation)
13,13,Dhirendra Pathak,909,0.6%,Independent
14,14,Vijay Kumar Gupta,705,0.5%,National Janta Party (Indian)
