x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kedar Nath Singh,"69,851",45.9%,Rashtriya Janata Dal
2,2,Tarkeshwar Singh,"53,900",35.4%,Bharatiya Janta Party
3,3,Virendra Kumar Ojha,"13,545",8.9%,Independent
4,4,Bikrma Ram,"1,481",1.0%,Bahujan Samaj Party
5,5,Narayan Pd. Yadaw,"1,304",0.9%,Garib Janta Dal (Secular)
6,6,Bhim Upadhyay,"1,291",0.9%,Independent
7,7,Mainejer Ray,"1,120",0.7%,Communist Party Of India
8,8,Sanjeev Kumar Mishra,"1,082",0.7%,Samras Samaj Party
9,9,Dhananjay Kumar Ray,945,0.6%,Bihar Janta Party
10,10,Dr. Gopal Prasad,564,0.4%,Bhartiya New Sanskar Krantikari Party
11,11,Byas Manjhi,555,0.4%,Bahujan Mukti Party
