x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Prabhunath Prasad,"52,276",40.0%,Janata Dal (United)
2,2,Shivesh Kumar,"37,572",28.8%,Bharatiya Janta Party
3,3,Manoj Kumar,"31,789",24.3%,Communist Party Of India (Marxist-Leninist) (Liberation)
4,4,Upendra Kumar,"1,493",1.1%,Independent
5,5,Bandna Devi,"1,147",0.9%,Samajwadi Party
6,6,Kashinath Prasad,"1,065",0.8%,Bahujan Mukti Party
7,7,Shashi Shekhar Prasad,"1,020",0.8%,Bahujan Samaj Party
