x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Lalan Paswan,"68,148",45.1%,Rashtriya Lok Samta Party
2,2,Mangal Ram,"58,367",38.6%,Indian National Congress
3,3,Ramendra Ram,"5,455",3.6%,Bahujan Samaj Party
4,4,Aman Kumar,"2,589",1.7%,Independent
5,5,Ravi Paswan,"1,752",1.2%,Samajwadi Party
6,6,Mahendra Baitha,"1,369",0.9%,Independent
7,7,Chinta Devi,"1,240",0.8%,Rashtra Sewa Dal
8,8,Bipin Ram,854,0.6%,Communist Party Of India (Marxist-Leninist) (Liberation)
9,9,Satyanarayan Paswan,804,0.5%,Apna Dal
10,10,Ramashish Ram,659,0.4%,Shoshit Samaj Dal
11,11,Ravishankar Prasad,533,0.4%,Janvadi Party(Socialist)
12,12,Pradeep Kumar,421,0.3%,Bahujan Mukti Party
