x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Basant Kumar,"40,468",27.9%,Rashtriya Lok Samta Party
2,2,Mohammad Shabbir,"36,576",25.3%,Indian National Congress
3,3,Ram Naresh Pandey,"22,709",15.7%,Communist Party Of India
4,4,Ramashish Yadav,"21,670",15.0%,Independent
5,5,Madan Chandra Jha,"5,085",3.5%,Independent
6,6,Vishweshwar Chaupal,"3,054",2.1%,Independent
7,7,Hiralal Sah,"2,109",1.5%,Bahujan Samaj Party
8,8,Rajnish Ram,"1,608",1.1%,Shiv Sena
9,9,Purushottam Jha,"1,512",1.0%,Independent
10,10,Shaligram Yadav,"1,474",1.0%,Samajwadi Party
11,11,Bhagirath Jha,"1,210",0.8%,Sarvajan Kalyan Loktantrik Party
12,12,Asha Devi,944,0.7%,Independent
13,13,Chhedi Mandal,923,0.6%,Independent
14,14,Sanjay Paswan,763,0.5%,Garib Janta Dal (Secular)
15,15,Vijay Gandhi,704,0.5%,Aarakshan Virodhi Party
16,16,Priya Ranjan,668,0.5%,Aadarsh Mithila Party
17,17,Bechu Mishra,579,0.4%,Bhartiya Jagran Party
