x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sharfuddin,"44,576",29.7%,Janata Dal (United)
2,2,Labhali Anand,"44,115",29.4%,Hindustani Awam Morcha (Secular)
3,3,Thakur Ratnakar,"22,309",14.9%,Independent
4,4,Ajit Kumar Jha,"15,891",10.6%,Samajwadi Party
5,5,Manoj Kumar,"3,684",2.5%,Socialist Party (India)
6,6,Manoj Upadhyay,"3,418",2.3%,Independent
7,7,Mo Imamudin,"2,906",1.9%,Bahujan Samaj Party
8,8,Sanjay Kumar,"2,834",1.9%,Independent
9,9,Quamruzzama,"2,370",1.6%,Garib Janta Dal (Secular)
10,10,Manisha Devi,"2,028",1.4%,Independent
11,11,Akhilesh Kumar Singh,"1,535",1.0%,All India Forward Bloc
