x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Jitan Ram Manjhi,"79,389",52.9%,Hindustani Awam Morcha (Secular)
2,2,Uday Narain Choudhary,"49,981",33.3%,Janata Dal (United)
3,3,Raghuni Ram Shastri,"4,297",2.9%,Shoshit Samaj Dal
4,4,Lalan Kumar,"3,624",2.4%,Sarvajan Kalyan Loktantrik Party
5,5,Mathura Paswan,"2,732",1.8%,Bahujan Samaj Party
6,6,Ram Khelawan Chaudhry,"2,491",1.7%,Aap Aur Hum Party
7,7,Shankar Paswan,"2,109",1.4%,Communist Party Of India (Marxist-Leninist) (Liberation)
