x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Raj Kumar Ray,"63,094",43.0%,Janata Dal (United)
2,2,Vinod Choudhary,"33,494",22.8%,Rashtriya Lok Samta Party
3,3,Sunil Kumar Pushpam,"19,756",13.5%,Jan Adhikar Party (Loktantrik)
4,4,Gangadhar Jha,"5,589",3.8%,Communist Party Of India (MARXIST)
5,5,Jitendra Kumar Yadav,"4,850",3.3%,Rashtravadi Janata Party
6,6,Sudin Yadav,"3,881",2.6%,Aarakshan Virodhi Party
7,7,Bindeshwari Prasad Sahni,"2,231",1.5%,Sarvajan Kalyan Loktantrik Party
8,8,Prayag Chandra Mukhia,"2,211",1.5%,Communist Party Of India
9,9,Manoranjan Rai,"1,444",1.0%,Independent
10,10,Ranjan Kumar,"1,402",1.0%,Independent
11,11,Pravin Kumar,"1,319",0.9%,Bahujan Samaj Party
