x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Lal Babu Ram,"75,010",47.9%,Rashtriya Janata Dal
2,2,Arjun Ram,"61,998",39.6%,Bharatiya Janta Party
3,3,Sachchidanand Suman,"5,169",3.3%,Independent
4,4,Barun Kumar,"1,766",1.1%,Communist Party Of India
5,5,Umesh Kumar Ram,"1,678",1.1%,Independent
6,6,Mukesh Paswan,"1,205",0.8%,Sarvajan Kalyan Loktantrik Party
7,7,Dr. Abhay Kumar,"1,058",0.7%,Aap Aur Hum Party
8,8,Satish Kumar,796,0.5%,Samajwadi Party
9,9,Samata Prakash Bharati,728,0.5%,Bahujan Mukti Party
10,10,Raghunath Ram,592,0.4%,Rashtriya Samanta Dal
11,11,Randhir Kumar Ram,531,0.3%,Bajjikanchal Vikas Party
12,12,Shankar Ram,469,0.3%,Bahujan Samaj Party
13,13,Bhola Paswan,379,0.2%,Bharat Nirman Party
14,14,Prem Kumar,336,0.2%,Garib Janta Dal (Secular)
