x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Birendra Kumar,"68,975",43.2%,Rashtriya Janata Dal
2,2,Ram Lakhan Singh,"53,364",33.4%,Bharatiya Janta Party
3,3,Ram Ratan Singh,"25,818",16.2%,Communist Party Of India
4,4,Sanjeev Kumar Bharti,"4,413",2.8%,Independent
5,5,Deepak Kumar Singh,"1,946",1.2%,Independent
6,6,Shamsher Alam,"1,384",0.9%,Samajwadi Party
7,7,Anil Kumar,"1,114",0.7%,Independent
