x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Yadubansh Kumar Yadav,"85,944",54.0%,Rashtriya Janata Dal
2,2,Vishwamohan Kumar,"49,575",31.2%,Bharatiya Janta Party
3,3,Mahendra Sah,"4,204",2.6%,Bahujan Samaj Party
4,4,Nageshwar Prasad Yadav,"3,507",2.2%,Communist Party Of India (MARXIST)
5,5,Mahendra Prasad Choudhary,"2,961",1.9%,Independent
6,6,Shur Vir Kaladhar,"2,899",1.8%,Independent
7,7,Idrish,"2,588",1.6%,Jan Adhikar Party (Loktantrik)
8,8,Sudha Kar Jha,"1,926",1.2%,Independent
9,9,Mohammad Izhar,"1,568",1.0%,Samajwadi Party
