x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Awadhesh Kumar Singh,"80,107",47.4%,Indian National Congress
2,2,Birendra Singh,"67,348",39.8%,Bharatiya Janta Party
3,3,Krishan Dev Yadav,"4,158",2.5%,Communist Party Of India
4,4,Sanjay Prasad,"1,774",1.1%,Bharat Bhrashtachar Mitao Party
5,5,Akhilesh Kumar,"1,743",1.0%,Pragatisheel Magahi Samaj
6,6,Jitendra Kumar Yadav,"1,738",1.0%,Jan Adhikar Party (Loktantrik)
7,7,Dipak Kumar,"1,541",0.9%,Independent
8,8,Ram Sewak Prasad,"1,509",0.9%,Bahujan Samaj Party
9,9,Soni Devi,"1,090",0.6%,Garib Janta Dal (Secular)
10,10,Md. Mansur Ansari,"1,007",0.6%,Sabjan Party
11,11,Nandelal Yadav,693,0.4%,Rashtriya Mazdoor Ekta Party
12,12,Abhishek Kumar,567,0.3%,International Party
