x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Madan Mohan Tiwari,"66,786",45.3%,Indian National Congress
2,2,Renu Devi,"64,466",43.7%,Bharatiya Janta Party
3,3,Sameer Hasan,"2,851",1.9%,Independent
4,4,Mohammad Saidullah,"1,628",1.1%,Communist Party Of India (MARXIST)
5,5,Lakshmi Ram,"1,553",1.1%,Bahujan Samaj Party
6,6,Punydeo Prasad,"1,355",0.9%,Independent
7,7,Ramesh Chandra Sinha,"1,348",0.9%,Shiv Sena
8,8,Shambhu Prasad Gupta,"1,237",0.8%,Samajwadi Party
9,9,Poonam Singh Alias Poonam Singh Patel,"1,178",0.8%,Independent
10,10,Amar Kumar Kushawaha,717,0.5%,Independent
11,11,Arun Yadav,651,0.4%,Jan Adhikar Party (Loktantrik)
12,12,Shrikanti Devi,590,0.4%,Rashtriya Jankranti Party
13,13,Rizwanullah,430,0.3%,Janta Dal Rashtravadi
14,14,Mohammad Firoj,328,0.2%,Garib Janta Dal (Secular)
15,15,Arun Kumar Srivastava,312,0.2%,Sarvajan Kalyan Loktantrik Party
16,16,Kedar Prasad,215,0.2%,National Janta Party (Indian)
