x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Asha Devi,"72,192",43.2%,Bharatiya Janta Party
2,2,Raj Kishor Yadav,"66,983",40.1%,Rashtriya Janata Dal
3,3,Tinku Yadav,"13,002",7.8%,Independent
4,4,Nar Singh Kumar Alias Tempo Chandravanshi,"3,246",1.9%,Bahujan Samaj Party
5,5,Akash Kumar,"1,518",0.9%,Bharatiya Momin Front
6,6,Ritesh Kumar,"1,446",0.9%,Independent
7,7,Mo Shakil Ansari Alias Tipu Sultan,"1,358",0.8%,Independent
8,8,Natasha Sharma,903,0.5%,Socialist Unity Centre Of India (COMMUNIST)
9,9,Mohammad Salim,825,0.5%,Independent
10,10,Yogendra Kumar Ray,592,0.4%,Bharatiya Jan Kranti Dal (Democratic)
11,11,Arvind Kumar Verma,587,0.4%,Lok Awaz Dal
12,12,Sushma Sinha,582,0.4%,Gareeb Aadmi Party
13,13,Rama Dhar  Singh,485,0.3%,Jawan Kisan Morcha
