Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Raju Shetty,640428,1479,53.9%,Swabhimani Paksha
2,Awade Kallappa Baburao,462618,1479,38.9%,Indian National Congress
3,Sureshdada Patil,25648,78,2.2%,Independent
4,Kamble Chandrakant Tukaram,11499,69,1.0%,Bahujan Samaj Party
5,Raghunathdada Patil,9015,69,0.8%,Aam Aadmi Party
6,Yuvraj Shivaji Kamble,6585,69,0.6%,Independent
7,Digambar Alias Gabbar Sudam Sakat,5186,69,0.4%,Bharipa Bahujan Mahasangh
8,Shaikh Shabbir Nabi,4176,69,0.4%,Maharashtra Parivartan Sena (T)
9,Patil S R Tatya,3318,69,0.3%,Independent
10,Sushant Santosh Dige,2999,69,0.3%,Independent
11,Thorat Anandrao Tukaram,2637,69,0.2%,Independent
12,Mane Arvind Bhiva,2361,69,0.2%,Independent
13,Kamble Sukumar Dattu,2342,69,0.2%,Independent
