Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dileepsingh Bhuria,545970,3181,50.4%,Bharatiya Janta Party
2,Kantilal Bhuria,437523,3181,40.4%,Indian National Congress
3,Babusingh,18485,80,1.7%,Bahujan Samaj Party
4,Bherusingh Damor,13116,72,1.2%,Janata Dal (United)
5,Meena Atul David,10980,72,1.0%,Independent
6,Bhadiya Dawar,6638,72,0.6%,Independent
7,Enari Machar,6085,72,0.6%,Aam Aadmi Party
8,Comrade Lata Bhabor,6078,72,0.6%,Communist Party Of India (MARXIST)
9,Kailash Vasuniya,3861,72,0.4%,Bahujan Mukti Party
10,Iliyas Bhai Machar,3581,72,0.3%,Minorities Democratic Party
