Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Lallu Singh,491761,400,48.1%,Bharatiya Janta Party
2,Mitrasen Yadav,208986,400,20.4%,Samajwadi Party
3,Jitendra Kumar Singh (BABLU BHAIYA),141827,400,13.9%,Bahujan Samaj Party
4,Nirmal Khatri,129917,200,12.7%,Indian National Congress
5,Radhika Prasad,9055,200,0.9%,Indian Savarn Samaj Party
6,Ram Janam,6308,200,0.6%,Moulik Adhikar Party
7,Makasud Ali,5963,200,0.6%,Peace Party
8,Jai Ram Singh Jai,5702,200,0.6%,Lokpriya Samaj Party
9,Mayuri Tiwari,4795,200,0.5%,Aam Aadmi Party
10,Shailendra Kumar Shukla,4187,200,0.4%,Naitik Party
11,Nasreen Bano,2678,200,0.3%,Rashtriya Ulama Council
