Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Thupstan Chhewang,31111,116800,26.4%,Bharatiya Janta Party
2,Ghulam Raza,31075,116800,26.3%,Independent
3,Syed Mohd Kazim,28234,32000,23.9%,Independent
4,Tsering Samphel,26402,13800,22.4%,Indian National Congress
