Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Mullappally Ramachandran,416479,742822,43.4%,Indian National Congress
2,Adv.A.N.Shamseer,413173,742822,43.1%,Communist Party Of India (MARXIST)
3,V.K.Sajeevan,76313,179,8.0%,Bharatiya Janta Party
4,Adv.P.Kumarankutty,17229,101,1.8%,Independent
5,P.Abdul Hameed Master,15058,101,1.6%,Social Democratic Party Of India
6,Ali Akbar,6245,90,0.7%,Aam Aadmi Party
7,A.P.Shamseer,3485,90,0.4%,Independent
8,Saseendran,2150,90,0.2%,Bahujan Samaj Party
9,P.Sharafudeen,1679,90,0.2%,Independent
10,Attuveppil Kunhikkannan,731,90,0.1%,Independent
11,A.M.Smitha,693,90,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
