Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Anupriya Singh Patel,436536,621,43.3%,Apna Dal
2,Samudra Bind,217457,621,21.6%,Bahujan Samaj Party
3,Lalitesh Pati Tripathi,152666,334,15.2%,Indian National Congress
4,Surendra Singh Patel,108859,235,10.8%,Samajwadi Party
5,Ashok Kumar,11245,106,1.1%,Independent
6,Ram Murat,7947,95,0.8%,Independent
7,Santosh Kumar,6811,95,0.7%,Samyak Parivartan Party
8,Ajad,6762,95,0.7%,Gondvana Gantantra Party
9,Sukchara Nand Urf Aaloo Baba,4787,95,0.5%,Shiv Sena
10,Devi,4639,95,0.5%,Independent
11,Vineet Sahai,4548,95,0.5%,All India Trinamool Congress
12,Shivraj Sahni,4405,95,0.4%,Pragatisheel Manav Samaj Party
13,Brijesh Kumar Rai,4318,95,0.4%,Aam Aadmi Party
14,Sarvesh Dubey,4304,95,0.4%,Republican Party Of India (A)
15,Jittoo Ram Ratna,4209,95,0.4%,Lok Dal
16,Jeera Bharti,4148,95,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
17,Dr. Karnail Singh,3627,95,0.4%,Independent
18,Bhagwan Das,3324,95,0.3%,Bahujan Mukti Party
19,Adesh Tyagi,3300,95,0.3%,Independent
20,Hinchh Lal,2685,95,0.3%,Independent
21,Girja Shankar Urf Chunmun,2363,95,0.2%,Independent
22,Radheshyam Insan,2138,95,0.2%,Bhartiya Republican Party (Insan)
23,Raja Ram,2010,95,0.2%,Independent
