Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Keshav Prasad Maurya,503564,280,52.4%,Bharatiya Janta Party
2,Dharam Raj Singh Patel,195256,280,20.3%,Samajwadi Party
3,Kapil Muni Karwariya,163710,224,17.0%,Bahujan Samaj Party
4,Mohd. Kaif,58127,108,6.1%,Indian National Congress
5,Shimala Shri,7384,72,0.8%,Aam Aadmi Party
6,Milan Mukerjee,5652,72,0.6%,Independent
7,Ziaoul Haque,3392,72,0.4%,Independent
8,Mithilesh Kumar,3114,72,0.3%,Independent
9,Gyanendra Kumar Srivastava (GYANI BHAI),2706,72,0.3%,Nationalist Congress Party
10,Dr. Neeraj,2187,72,0.2%,Independent
11,Surendra Kumar Mishra,1585,72,0.2%,Lok Dal
12,Ganeshji Tripathi,1521,72,0.2%,Rashtriya Bandhutwa Party
13,Nathu Ram Boudha,1306,72,0.1%,Bahujan Mukti Party
14,Parvez Ashfaque Siddiqui,1302,72,0.1%,Quami Ekta Dal
15,Dakkhini Prasad Kushwaha,1111,72,0.1%,Rashtriya Garib Dal
