Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vanaroja R,500751,1310,46.9%,All India Anna Dravida Munnetra Kazhagam
2,Annadurai C N,332145,1310,31.1%,Dravida Munetra Kazhagam
3,Ediroli Manian G,157954,260,14.8%,Pattali Makkal Katchi
4,Subramaniyan A,17854,96,1.7%,Indian National Congress
5,Murugesan K,10708,85,1.0%,Independent
6,Arumugam C,6278,85,0.6%,Samajwadi Party
7,Kothandapani B,4688,85,0.4%,Independent
8,Baskaran M R,4328,85,0.4%,Bahujan Samaj Party
9,Senthil S,3867,85,0.4%,Independent
10,Ramesh P,2445,85,0.2%,Independent
11,Ravindran T,1999,85,0.2%,Tamil Nadu Makkal Congress
12,Loganathan P,1729,85,0.2%,Independent
13,Annadurai B,1693,85,0.2%,Independent
14,Anbalagan D,1686,85,0.2%,Independent
15,Manikkavel M R,1555,85,0.1%,Janata Dal (Secular)
16,Kamaraj M,1369,85,0.1%,Independent
17,Murugan P,991,85,0.1%,Independent
18,Arumugam R,973,85,0.1%,Independent
19,Vaithiyanathan S,931,85,0.1%,Independent
20,Aruljothi A,904,85,0.1%,Independent
21,Annadurai A,865,85,0.1%,Independent
22,Arunachalam P,736,85,0.1%,Independent
23,Velmurugan A,724,85,0.1%,Independent
24,Prabakaran L,679,85,0.1%,Independent
