Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Mahendran.C,417092,1563,41.2%,All India Anna Dravida Munnetra Kazhagam
2,Eswaran.E.R.,276118,1563,27.3%,Bharatiya Janta Party
3,Pongalur Palanisamy.N,251829,1105,24.9%,Dravida Munetra Kazhagam
4,Selvaraj,30014,128,3.0%,Indian National Congress
5,Mary Stella. M,4942,99,0.5%,Independent
6,Manoharan.M,3953,99,0.4%,Bahujan Samaj Party
7,Palanisamy. V,2472,99,0.2%,Independent
8,Palanisamy. N,2192,99,0.2%,Independent
9,Ramasamy. K,2071,99,0.2%,Independent
10,Prabhu. J,1599,99,0.2%,Independent
11,Kathiresan. L,1523,99,0.2%,Independent
12,Mahendran. M,1171,99,0.1%,Independent
13,Rajendran. M,1004,99,0.1%,Independent
14,Sathish Kumar .L,895,99,0.1%,Samajwadi Party
15,Easwaran . R,891,99,0.1%,Independent
16,Deivasigamani.K,834,99,0.1%,Independent
17,Kathiravan. K,626,99,0.1%,Independent
18,Karthikeyan. Pon,494,99,0.0%,Independent
