Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Baijayant Panda,601574,926,52.7%,Biju Janata Dal
2,Dharanidhar Nayak,392466,926,34.4%,Indian National Congress
3,Bishnu Prasad Das,118707,132,10.4%,Bharatiya Janta Party
4,Sk. Faruk,6199,68,0.5%,Bahujan Samaj Party
5,Pramod Sahu,6193,68,0.5%,Independent
6,Md.Samim Aktar,6029,68,0.5%,Aam Aadmi Party
7,Sukumar Mallick,2221,68,0.2%,Independent
