Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Adityanath,539127,400,51.8%,Bharatiya Janta Party
2,Rajmati Nishad,226344,400,21.8%,Samajwadi Party
3,Ram Bhual Nishad,176412,400,17.0%,Bahujan Samaj Party
4,Astbhuja Prasad Tripathi,45719,200,4.4%,Indian National Congress
5,Radhe Mohan Misra,11873,200,1.1%,Aam Aadmi Party
6,Achhe Lal Gupta,5339,200,0.5%,Independent
7,Faiz Ahamad Faizi,5046,200,0.5%,Peace Party
8,Ramkishun,4387,200,0.4%,Independent
9,Ashok,4194,200,0.4%,Independent
10,Munna,4024,200,0.4%,Swarajya Party Of India
11,Indra Deo Yadava,2398,200,0.2%,Bhartiya Shakti Chetna Party
12,Subash Kumar Maurya,2123,200,0.2%,Rashtriya Janwadi Party (Krantikari)
13,Mohd. Waseem Khan,2016,200,0.2%,Bahujan Mukti Party
14,Rajesh,1873,200,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
15,Rajit Mishra,1171,200,0.1%,Naitik Party
