Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Maneka Sanjay Gandhi,546934,400,52.1%,Bharatiya Janta Party
2,Budhsen Verma,239882,400,22.8%,Samajwadi Party
3,Anis Ahmad Khan Alias Phool Babu,196294,400,18.7%,Bahujan Samaj Party
4,Sanjay Kapoor,29169,200,2.8%,Indian National Congress
5,Munesh Singh,6151,200,0.6%,Independent
6,Rajeev Agrawal,5547,200,0.5%,Aam Aadmi Party
7,Ram Autar,3187,200,0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Ravindra Kumar Devnath,3145,200,0.3%,Independent
9,Nilima Sharma,2670,200,0.3%,Peace Party
10,Mohd Naeem Ansari,2617,200,0.2%,Independent
11,Araman Khan,2170,200,0.2%,Independent
12,Sanjay Kumar,1260,200,0.1%,Naitik Party
