Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Tapas Paul,438789,9235,35.2%,All India Trinamool Congress
2,Jha Shantanu,367534,9235,29.5%,Communist Party Of India (MARXIST)
3,Satya Brata Mookherjee,329387,3737,26.4%,Bharatiya Janta Party
4,Ahmed Razia,74789,221,6.0%,Indian National Congress
5,Subimal Sengupta,7777,116,0.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
6,Kamal Datta,7214,116,0.6%,Socialist Unity Centre Of India (COMMUNIST)
7,Harashit Biswas,6168,116,0.5%,Bahujan Samaj Party
8,Molla Jaforulla,4865,116,0.4%,Bahujan Mukti Party
9,Ahamed Hossain,3749,116,0.3%,Indian Union Muslim League
