Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Tathagata Satpathy,453277,1773,43.5%,Biju Janata Dal
2,Rudra Narayan Pany,315937,1773,30.3%,Bharatiya Janta Party
3,Sudhir Kumar Samal,213794,518,20.5%,Indian National Congress
4,Kalakar Naik,8712,91,0.8%,Ambedkarite Party Of India
5,Nirmal Samal,7505,89,0.7%,Independent
6,Premananda Sahoo,6574,89,0.6%,Bahujan Samaj Party
7,Suparno Satpathy,5447,89,0.5%,Aama Odisha Party
8,Jimuta Prasad Mishra,5120,89,0.5%,Aam Aadmi Party
9,Manasi Swain,4275,89,0.4%,Socialist Unity Centre Of India (COMMUNIST)
10,Er. Guru Prasad Pradhan,3918,89,0.4%,Independent
11,Pradyumna Kumar Naik,2298,89,0.2%,Bahujan Mukti Party
12,Priyabrata Garnaik,2039,89,0.2%,Samata Kranti Dal
