Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ahir Hansraj Gangaram,508049,800,45.8%,Bharatiya Janta Party
2,Deotale Sanjay Wamanrao,271780,800,24.5%,Indian National Congress
3,Chatap Wamanrao Sadashiv,204413,400,18.4%,Aam Aadmi Party
4,Kumbhare Hansraj Gulab,49229,200,4.4%,Bahujan Samaj Party
5,Pramod Mangaruji Sorte,10930,200,1.0%,Independent
6,Vinod Dinanath Meshram,8936,200,0.8%,Independent
7,Ashok Vithoba Khandale,8302,200,0.7%,Republican Party Of India
8,Namdeo Shedmake,5829,200,0.5%,Independent
9,Nandkishor Gangaram Rangari,4850,200,0.4%,Ambedkarite Party Of India
10,Firaj Pathan,4341,200,0.4%,Bahujan Mukti Party
11,Qureshi M. Ekhalak M. Yusuf,4176,200,0.4%,Socialist Party (India)
12,Kartik Gajanan Kodape,3879,200,0.3%,Independent
13,Nitin Vasant Pohane,3772,200,0.3%,Lok Bharati
14,Pankajkumar Sharma,3216,200,0.3%,All India Trinamool Congress
15,Ghaywan Roshan Jambuwantrao,2736,200,0.2%,Republican Paksha (Khoripa)
16,Atul Ashok Munginwar,2693,200,0.2%,Independent
17,Siddharth Raut,2188,200,0.2%,Prabuddha Republican Party
18,Sanjay Nilkanth Gawande,2167,200,0.2%,Independent
