Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Siraj Uddin Ajmal,394702,25002,32.7%,All India United Democratic Front
2,Chandra Mohan Patowary,352361,25002,29.2%,Bharatiya Janta Party
3,Ismail Hussain,277802,2955,23.0%,Indian National Congress
4,Phani Bhusan Choudhury,73733,268,6.1%,Asom Gana Parisad
5,Uddhab Barman,27575,177,2.3%,Communist Party Of India (MARXIST)
6,Samsul Hoque,24444,168,2.0%,Independent
7,Dilir Khan,20135,156,1.7%,Independent
8,Dr. Pervez Ali Ahmed,10944,144,0.9%,All India Trinamool Congress
9,Khurshida Anowara Begum,5710,131,0.5%,Socialist Unity Centre Of India (COMMUNIST)
10,Kamal Uddin,3433,131,0.3%,Independent
11,Abul Awal,3099,131,0.3%,Samajwadi Party
12,Entaz Ali,1937,131,0.2%,Lok Bharati
13,Gautam Kumar Sarma,1859,131,0.2%,Independent
14,Bhadreswar Barman,1695,131,0.1%,Independent
15,Barun Karmakar,1649,131,0.1%,Independent
