Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Thokchom Meinya,292102,1393,45.6%,Indian National Congress
2,Moirangthem Nara,197428,1393,30.8%,Communist Party Of India
3,R.K. Ranjan Singh,92443,257,14.4%,Bharatiya Janta Party
4,Sarangthem Manaobi,39903,135,6.2%,All India Trinamool Congress
5,Indira Oinam,7014,83,1.1%,Independent
6,Dr. Ibomcha Singh,3275,83,0.5%,Aam Aadmi Party
7,Dr. Gurumayum Tonsana Sharma,2005,83,0.3%,Manipur Democratic Peoples's Front
8,Oinam Jotin Singh,1403,83,0.2%,Jai Maha Bharath Party
