Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Butta Renuka,472782,20000,44.4%,Yuvajana Sramika Rythu Congress Party
2,B.T. Naidu,428651,20000,40.2%,Telugu Desam
3,Kotla Jayasuryaprakash Reddy,116603,400,10.9%,Indian National Congress
4,Noor Ahmed Madani,11393,200,1.1%,Socialistic Democratic Party
5,Vissa Kiran Kumar,6522,200,0.6%,Aam Aadmi Party
6,R.J.Mallikal,5746,200,0.5%,Bahujan Samaj Party
7,G.Jakeer Hussain,3600,200,0.3%,Jai Samaikyandhra Party
8,D Yugandhar,2820,200,0.3%,Independent
9,D Chand Basha,2605,200,0.2%,Independent
10,Kothuru.Satyanarayana Gupta,2021,200,0.2%,Independent
11,Nagella Elia,1990,200,0.2%,Welfare Party Of India
12,Kondiparthi .Venkat Prasad,1614,200,0.2%,Republican Party Of India
