Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ram Kumar Sharma,411265,1200,45.7%,Rashtriya Lok Samta Party
2,Sitaram Yadav,263300,1200,29.2%,Rashtriya Janata Dal
3,Arjun Rai,97188,400,10.8%,Janata Dal (United)
4,Mahesh Nandan Singh,20613,200,2.3%,Independent
5,Kishori Das,18043,200,2.0%,Aam Aadmi Party
6,Rajeev Ranjan,11250,200,1.2%,All India Trinamool Congress
7,Chandrika Prasad,8846,200,1.0%,Independent
8,Mahesh Kumar,8521,200,0.9%,Bahujan Samaj Party
9,Satyendra Bhandari,7853,200,0.9%,Bahujan Mukti Party
10,Mohammad Faiyaz Ahmad,7586,200,0.8%,Independent
11,Sone Lal Sah,6115,200,0.7%,Independent
12,Narendra Mishra,6078,200,0.7%,Independent
13,Ajay Kumar,5454,200,0.6%,Independent
14,Syed Abu Dojana,4692,200,0.5%,Samajwadi Party
15,Surendra Kumar,4501,200,0.5%,Bajjikanchal Vikas Party
16,Jay Kumar Chaudhary,3880,200,0.4%,Lok Dal
17,Mahendra Prasad,3695,200,0.4%,Samajwadi Janata Party (RASHTRIYA)
18,Vinod Sah,2996,200,0.3%,Independent
19,Bharat Bhushan Sahni,2763,200,0.3%,Sarvajan Kalyan Loktantrik Party
