Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sunil Kumar Mondal,574660,4400,43.5%,All India Trinamool Congress
2,Iswar Chandra Das,460181,4400,34.8%,Communist Party Of India (MARXIST)
3,Santosh Roy,170828,400,12.9%,Bharatiya Janta Party
4,Chandana Majhi,68884,200,5.2%,Indian National Congress
5,Swapan Malik,9666,200,0.7%,Jharkhand Mukti Morcha
6,Kalicharan Sardar,7981,200,0.6%,Socialist Unity Centre Of India (COMMUNIST)
7,Pejush Kumar Sahana,5919,200,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Mukul Biswas,5442,200,0.4%,Bahujan Samaj Party
9,Prosanta Bag,3410,200,0.3%,Jharkhand Disom Party
