Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Radadiya Vithalbhai Hansrajbhai,508437,277,62.8%,Bharatiya Janta Party
2,Jadeja Kandhalbhai Sarmanbhai,240466,277,29.7%,Nationalist Congress Party
3,Sadiya Vrajalal Pababhai,12180,55,1.5%,Bahujan Samaj Party
4,Mansukh Sundaraji Dhokai,7939,55,1.0%,Aam Aadmi Party
5,Vakil Vinzuda Ranjitbhai Naranbhai,4475,55,0.6%,Independent
6,Irfanshah Habibshah Suharavardi,3825,55,0.5%,Samajwadi Party
7,Rathod Chandulal Mohanlal,3009,55,0.4%,Independent
8,Patel Butani Rajeshbhai Maganbhai,2868,55,0.4%,Independent
9,Khunti Bharatbhai Maldebhai,2205,55,0.3%,Independent
10,Tukadia G.R.,1704,55,0.2%,Independent
11,Aghera Dhirajlal Bhurabhai,1671,55,0.2%,Independent
12,Unadakat Prakash Vallabhadas,1618,55,0.2%,Independent
13,Khokhani Lalitaben Mansukhbhai,1569,55,0.2%,Independent
14,Joshi Harish Liladhar,1024,55,0.1%,Independent
