Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Jagdambika Pal,298845,2172,32.0%,Bharatiya Janta Party
2,Muhammad Muqeem,195257,2172,20.9%,Bahujan Samaj Party
3,Mata Prasad Pandey,174778,1454,18.7%,Samajwadi Party
4,Dr. Mohd. Ayub,99242,473,10.6%,Peace Party
5,Vasundhara,88117,414,9.4%,Indian National Congress
6,Mukesh Narayan Shukla Urf Gyanesh Narayan Shukla,10952,150,1.2%,Independent
7,Arjun Singh,9529,150,1.0%,Bahujan Mukti Party
8,Dr. Satyendra Nath Pandey,9372,150,1.0%,Aam Janata Party
9,Ram Ugrah,7762,150,0.8%,Independent
10,Hamidullah Chaudhary,7159,150,0.8%,Nationalist Congress Party
11,Pingle Prasad,5521,134,0.6%,Swaraj (J)
12,Diwakar Prasad,5123,134,0.5%,Independent
13,Kali Ram,4939,134,0.5%,Independent
14,Santram,3238,134,0.3%,Bharatiya Rashtriya Bahujan Samaj Vikas Party
15,Badre Alam,3174,134,0.3%,Aam Aadmi Party
16,Manoj Kumar,2709,134,0.3%,Suheldev Bhartiya Samaj Party
17,Ravi Kumar,2535,134,0.3%,Samyak Parivartan Party
