Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Daddan Mishra,345964,3780,35.3%,Bharatiya Janta Party
2,Atiq Ahmad,260051,3780,26.5%,Samajwadi Party
3,Lal Ji Verma,194890,1102,19.9%,Bahujan Samaj Party
4,Rizwan Zaheer,101817,349,10.4%,Peace Party
5,Vinay Kumar Pandey 'vinnu',20006,140,2.0%,Indian National Congress
6,Arun Kumar,10083,132,1.0%,Independent
7,Ram Adhar,6278,118,0.6%,Independent
8,Vijay Kumar,5542,118,0.6%,Independent
9,Praksh Chandra Mishra,4489,118,0.5%,Jan Sevak Party
10,Arjun Yadav,3730,118,0.4%,Independent
11,Tej Bahadur,3474,118,0.4%,Independent
12,Saxen,3188,118,0.3%,Samyak Parivartan Party
13,Ram Sudhi,2961,118,0.3%,Jan Shakti Ekta Party
14,Ratnesh,2578,118,0.3%,Aam Aadmi Party
