Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Ram Shankar Katheria,583716,393,54.5%,Bharatiya Janta Party
2,Narayan Singh Suman,283453,393,26.5%,Bahujan Samaj Party
3,Maharaj Singh Dhangar,134708,154,12.6%,Samajwadi Party
4,Upendra Singh,34834,83,3.3%,Indian National Congress
5,Ravindra Singh,7804,70,0.7%,Aam Aadmi Party
6,Om Prakash,4243,68,0.4%,Independent
7,Dinesh Kumar Gautam,3657,68,0.3%,Independent
8,Anil,3646,68,0.3%,Bharatiya Kisan Parivartan Party
9,Vinod Kumar Singh,2584,68,0.2%,Independent
10,Amar Singh,2453,68,0.2%,Independent
11,Ashok Kumar,1416,68,0.1%,Independent
12,Prem Singh,771,68,0.1%,Bahujan Mukti Party
13,Anita,765,68,0.1%,Vanchitsamaj Insaaf Party
14,Ramesh,602,68,0.1%,Janata Dal (United)
15,Chandra Pal,557,68,0.1%,Adarsh Samaj Party
