Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Jadhav Prataprao Ganpatrao,509145,1400,52.0%,Shiv Sena
2,Ingle Krushanarao Ganpatrao,349566,1400,35.7%,Nationalist Congress Party
3,Abdul Hafeez Abdul Aziz,33783,200,3.5%,Bahujan Samaj Party
4,Balasaheb Shankar Darade,29793,200,3.0%,Independent
5,Sandesh Ashok Ambedkar,7927,200,0.8%,Bahujan Mukti Party
6,Parmeshwar Hiraman Gawai,6983,200,0.7%,Ambedkarist Republican Party
7,Namdeo Pundlik Dongardive,6959,200,0.7%,Independent
8,Sanjay Mahadev Wankhade,4520,200,0.5%,Independent
9,Sudhir Baban Surve,3429,200,0.4%,Aam Aadmi Party
10,Vasantrao Sukhdev Dandage,2750,200,0.3%,Samajwadi Party
11,Adv. Ravindra Dnyandeo Bhojane,2448,200,0.3%,Ambedkarite Party Of India
12,Commander (RTD) ASHOK RAUT,2077,200,0.2%,Independent
13,Sambare Dinkar Tukaram,2006,200,0.2%,Independent
14,Chinchole Gangaram Kaluji,1917,200,0.2%,Independent
15,Krushnarao Ingle,1787,200,0.2%,Independent
16,Smt. Prabhatai Madhukar Parlewar,1725,200,0.2%,Narayani Sena
17,Ravindrasing Ramsing Pawar,1265,200,0.1%,Lok Bharati
