Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ashok Kumar Doharey,439646,892,46.8%,Bharatiya Janta Party
2,Premdas Kateriya,266700,892,28.4%,Samajwadi Party
3,Ajay Pal Singh Jatav,192804,404,20.5%,Bahujan Samaj Party
4,Hans Mukhi Kori,13397,92,1.4%,Indian National Congress
5,Ujiyare Lal Dohare,5923,81,0.6%,Aam Aadmi Party
6,Vineet Kumar Gautam,4954,81,0.5%,Ambedkar Samaj Party
7,Dr Mukesh Singh Dohare,3178,81,0.3%,Peace Party
8,Har Bilash Dohery,2677,81,0.3%,Bahujan Mukti Party
9,Prem Chandra,2372,81,0.3%,Kisan Majdoor Berojgar Sangh
10,Siya Ram Paswan,1788,81,0.2%,Al-Hind Party
