Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ashok Kumar.K,480491,793,45.0%,All India Anna Dravida Munnetra Kazhagam
2,Chinna Pillappa.P,273900,793,25.6%,Dravida Munetra Kazhagam
3,Mani.G.K,224963,491,21.1%,Pattali Makkal Katchi
4,Chellakumar. Dr. A,38885,119,3.6%,Indian National Congress
5,Chanbasha.M,8618,88,0.8%,Bahujan Samaj Party
6,Ashok Kumar.A,3875,88,0.4%,Independent
7,Sundaram.S,3665,88,0.3%,United Communist Party Of India
8,Gowda.Nsm,3033,88,0.3%,Janata Dal (Secular)
9,Saravanan.V,2737,88,0.3%,Independent
10,Virginiya Benatin Franciles,2530,88,0.2%,Independent
11,Vinothkumar.P,2261,88,0.2%,Independent
12,Muniraj.K,2135,88,0.2%,Ulzaipali Makkal Katchy
13,Pattabirama.C,2015,88,0.2%,Independent
14,Soundarajan.M,1744,88,0.2%,Independent
15,Gandhi.Tvs,1519,88,0.1%,Independent
