Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kachhadiya Naranbhai Bhikhabhai,436715,841,54.0%,Bharatiya Janta Party
2,Thummar Virjibhai Keshavbhai (VIRJIBHAI THUMMAR),280483,841,34.7%,Indian National Congress
3,Sukhadiya Nathalal Vallabhbhai,15520,75,1.9%,Aam Aadmi Party
4,Chavada Manubhai Parshottmbhai,13803,75,1.7%,Janata Dal (United)
5,Ramani Sureshbhai Dhirubhai,10114,67,1.3%,Independent
6,Valodara Vrajlal Jivabhai,8167,67,1.0%,Independent
7,Dafada Ramjibhai Nanjibhai,7822,67,1.0%,Bahujan Samaj Party
8,Nathabhai Dayabhai Tota,4032,67,0.5%,Independent
9,Mehulbhai Himatbhai Sukhadia,3439,67,0.4%,Independent
10,Usmanbhai P. Maghara,2216,67,0.3%,Independent
11,Dhimecha Nareshbhai Nanjibhai,2062,67,0.3%,Independent
12,Sangani Vijaybhai Dineshbhai,1938,67,0.2%,Yuva Sarkar
13,Rathod Jivanbhai R.,1809,67,0.2%,Republican Party Of India (A)
14,Jadav Mustakbhai,1553,67,0.2%,Independent
