Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kunwer Sarvesh Kumar,485224,5589,43.0%,Bharatiya Janta Party
2,Dr S T Hasan,397720,5589,35.3%,Samajwadi Party
3,Haji Mohd Yaqoob,160945,313,14.3%,Bahujan Samaj Party
4,Engineer Mohammad Irfan,25840,114,2.3%,Peace Party
5,Begum Noor Bano Urf Mehtab,19732,105,1.7%,Indian National Congress
6,Saurabh Pratap Singh,5647,95,0.5%,All India Trinamool Congress
7,Vimal Kumar,4469,95,0.4%,Aam Aadmi Party
8,Hariom,4097,95,0.4%,Naya Daur Party
9,Nafisuddin,3180,95,0.3%,Communist Party Of India (MARXIST)
10,Amit Kumar,3047,95,0.3%,Bahujan Mukti Party
11,Sandeep Kumar,2971,95,0.3%,Sarva Samaj Kalyan Party
12,Satish Chandra Sharma,2267,95,0.2%,Naitik Party
13,Teaj Singh Saini,1710,95,0.2%,Rashtriya Samanta Dal
14,Jaipal Singh Saini,1334,95,0.1%,Shiv Sena
15,Roopa Chandra Singh,1282,95,0.1%,Independent
16,Raj Kumar Gupta,1278,95,0.1%,Independent
17,Kamar Alam,1059,95,0.1%,Indian Bahujan Samajwadi Party
18,Mohd Zafar Iqbal,956,95,0.1%,Akhil Bharatiya Muslim League  (Secular)
