Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Prem Das Rai,163698,1800,53.0%,Sikkim Democratic Front
2,Tek Nath Dhakal,121956,1800,39.5%,Sikkim Krantikari Morcha
3,Nar Bahadur Khatiwada,7279,200,2.4%,Bharatiya Janta Party
4,Akar Dhoj Limbu,7189,200,2.3%,Indian National Congress
5,Kaushal Rai,2541,200,0.8%,Aam Aadmi Party
6,Nakul Das Rai,1972,200,0.6%,All India Trinamool Congress
