Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Harish Chandra Meena,315059,12743,33.9%,Bharatiya Janta Party
2,Dr. Kirodi Lal,269655,12743,29.0%,National People's Party
3,Namonarain Meena,181272,1259,19.5%,Indian National Congress
4,Shiv Pal Gurjar,82549,331,8.9%,Independent
5,Bimla Devi Meena,20037,159,2.2%,Independent
6,Anju Devi Dhanka,16935,150,1.8%,Independent
7,Chandu Lal Meena (GEROTA),15303,150,1.6%,Bahujan Samaj Party
8,Dr. Naseem Gurjar,5792,123,0.6%,Independent
9,Khemraj Meena,4297,123,0.5%,Bharatiya Yuva Shakti
10,Dr. Sanjeet Kumar Dhanka,3202,123,0.3%,Aam Aadmi Party
11,Anjali Bhadana,3072,123,0.3%,Independent
12,Suraj Bhan Dhanka,2357,123,0.3%,Samajwadi Party
13,Dharmi Ghunawat,1635,123,0.2%,Indian Peoples Green Party
14,Rukmani Meena Jhakhiwal,917,123,0.1%,Socialist Party (India)
