Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kher Kirron Anupam,191362,1400,42.2%,Bharatiya Janta Party
2,Pawan Kumar Bansal,121720,1400,26.8%,Indian National Congress
3,Gulkirat Kaur Panag,108679,1000,24.0%,Aam Aadmi Party
4,Jannat Jahan-Ul-Haq (NAINA),15934,200,3.5%,Bahujan Samaj Party
5,Reena Sharma,2643,200,0.6%,Independent
6,Shamsher Singh,2054,200,0.5%,Independent
7,Kawaljit Singh,1968,200,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Pawan Kumar Sharma,997,200,0.2%,Independent
9,Ramesh Chander,743,200,0.2%,Independent
10,Ajay Singla,660,200,0.1%,Independent
11,Khem Lal Bansal,640,200,0.1%,Inqalab Vikas Dal
12,Deepak Shukla,613,200,0.1%,Independent
13,Dharmender Singh,566,200,0.1%,Hindustan Ekta Party
14,Surender Kumar,550,200,0.1%,Bahujan Mukti Party
15,Surinder Bhardwaj,434,200,0.1%,Janata Dal (United)
16,Amarjit Kaur,397,200,0.1%,Independent
17,Jasmer Singh,389,200,0.1%,Independent
