Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Riti Pathak,475678,2743,48.1%,Bharatiya Janta Party
2,Indrajeet Kumar,367632,2743,37.2%,Indian National Congress
3,Rama Shankar Shahwal,39387,109,4.0%,Bahujan Samaj Party
4,Puspendra Singh,23298,97,2.4%,Gondvana Gantantra Party
5,Bhagawati Charan Pandey(NEELU),10725,80,1.1%,Independent
6,Smt. Asha Singh,10037,80,1.0%,Rashtriya Apna Dal
7,Pankaj Singh Patel,9691,80,1.0%,Aam Aadmi Party
8,Ramakant Pandey Malaihna,7579,80,0.8%,Independent
9,Sunil Soni Khaddi-42,6627,80,0.7%,Bahujan Sangharshh Dal
10,Sanat Kumar Tripathi,5830,80,0.6%,Bhartiya Shakti Chetna Party
11,Brahmanand Pratap Singh,5472,80,0.6%,Independent
12,Urmila,4348,80,0.4%,Communist Party Of India (Marxist-Leninist) Red Star
13,Mohd. Jahangeer Ansari,3763,80,0.4%,Independent
14,Lal Bahadur Singh,1979,80,0.2%,Samata Samadhan Party
