Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kamalbhan Singh Marabi,585336,2200,49.3%,Bharatiya Janta Party
2,Ram Dev Ram,438100,2200,36.9%,Indian National Congress
3,Dharmjeet Singh Markam,21633,200,1.8%,Bahujan Samaj Party
4,Rajnath,15515,200,1.3%,Independent
5,Comrade Surendra Lal Singh,14849,200,1.3%,Communist Party Of India (MARXIST)
6,Baldeo Prasad Singh Maravi,14702,200,1.2%,Gondvana Gantantra Party
7,Ramasapna Singh,11691,200,1.0%,Ambedkarite Party Of India
8,Tuleshwar Singh,11384,200,1.0%,All India Trinamool Congress
9,Bahadur Ram,10861,200,0.9%,Independent
10,Dubraj Singh Markam,7577,200,0.6%,Independent
11,Shivkumar Singh Shyam,7374,200,0.6%,Rashtriya Gondvana Party
12,Kumait Ram Sandil,6146,200,0.5%,Independent
13,Ramnath Chearwa,6051,200,0.5%,Shoshit Samaj Dal
14,Advocate Kunj Bihari Singh Paikra,4998,200,0.4%,Bahujan Mukti Party
