Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Om Prakash Yadav,372670,1801,42.2%,Bharatiya Janta Party
2,Hena Shahab,258823,1801,29.3%,Rashtriya Janata Dal
3,Amar Nath Yadav,81006,207,9.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
4,Manoj Kumar Singh,79239,202,9.0%,Janata Dal (United)
5,Ganesh Ram,14584,102,1.6%,Bahujan Samaj Party
6,Ram Binay Ray,11757,102,1.3%,Bharatiya Ekta Dal
7,Satya Prakash Pandey,10542,102,1.2%,Aam Aadmi Party
8,Khalil Miya,9580,102,1.1%,Gondvana Gantantra Party
9,Ranjan Kumar,8851,93,1.0%,Bharat Vikas Morcha
10,Parmeshwar Manjhi,5683,93,0.6%,Bahujan Mukti Party
11,Paramanand Gond,4016,93,0.5%,Swatantra Samaj Party
12,Narad Pndit,3250,93,0.4%,Jai Prakash Janata Dal
13,Nagendra Tiwari,2611,93,0.3%,Loktantrik Janata Party (Secular)
