Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ravindra Kr. Ray,365410,3227,35.7%,Bharatiya Janta Party
2,Rajkumar Yadav,266756,3227,26.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
3,Pranav Kumar Verma,160638,636,15.7%,Jharkhand Vikas Morcha (Prajatantrik)
4,Tilakdhari Pd Singh,60330,218,5.9%,Indian National Congress
5,Najrul Hassan Hashmi,25522,154,2.5%,Ajsu Party
6,Kanchan Kumari,20669,143,2.0%,Independent
7,Krishna Singh,18727,143,1.8%,Janata Dal (United)
8,Manju Kumari,12785,131,1.2%,All India Trinamool Congress
9,Bisheshwar Prasad,12459,131,1.2%,Bahujan Samaj Party
10,Vijay Kumar Chourasiya,11880,131,1.2%,Aam Aadmi Party
11,Shivanath Sav,11117,131,1.1%,Independent
12,Jaideo Chaudhary,7838,120,0.8%,Samajwadi Party
13,Raghunandan Prasad Vishwakarma,6992,120,0.7%,All India Forward Bloc
14,Dr. Suraj Mandal,6966,120,0.7%,Jharkhand Vikas Dal
15,Rameshwar Prasad Yadav,6334,120,0.6%,Independent
16,Mahendra Ravidas,6141,120,0.6%,Bahujan Mukti Party
17,Phaljit Mahto,5996,120,0.6%,Independent
18,Yogendra Ram,4516,120,0.4%,Akhil Bharatiya Jan Sangh
19,Md. Jalil Ansari,4245,120,0.4%,National Loktantrik Party
20,Manoj Kumar,2873,120,0.3%,Independent
