Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vijay Kumar Singh,758482,152,56.5%,Bharatiya Janta Party
2,Raj Babbar,191222,152,14.2%,Indian National Congress
3,Mukul,173085,143,12.9%,Bahujan Samaj Party
4,Sudhan Kumar,106984,106,8.0%,Samajwadi Party
5,Shazia Ilmi Malik,89147,97,6.6%,Aam Aadmi Party
6,Sanjeev Kumar,4639,66,0.3%,Independent
7,Sabir,3409,66,0.3%,Independent
8,Suresh Pal,1591,66,0.1%,Bharatiya Sarvodaya Kranti Party
9,Naresh Gautam,1548,66,0.1%,Bahujan Mukti Party
10,Saleem Malik,1486,66,0.1%,Independent
11,Rinku Kumar Tyagi,1185,66,0.1%,Independent
12,Ramphal Shakya,1094,66,0.1%,Independent
13,Vinod Kumar Tyagi,992,66,0.1%,Independent
14,Keshav Choudhary,627,66,0.0%,Independent
15,Nitin,624,66,0.0%,Independent
