Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vishnu Dayal Ram,476513,387,48.8%,Bharatiya Janta Party
2,Manoj Kumar,212571,387,21.8%,Rashtriya Janata Dal
3,Ghuran Ram,156832,248,16.0%,Jharkhand Vikas Morcha (Prajatantrik)
4,Kameshwar Baitha,37043,99,3.8%,All India Trinamool Congress
5,Rampati Ranjan,20481,87,2.1%,Bahujan Samaj Party
6,Shyam Lal Ram,9592,77,1.0%,Independent
7,Ravindra Kumar Ravi,9145,77,0.9%,Independent
8,Shushma Mehta,8386,77,0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Jorawar Ram,7538,77,0.8%,Janata Dal (United)
10,Vinod Ram,5879,77,0.6%,Independent
11,Ashok Ram,5648,77,0.6%,Independent
12,Ram Badan Ram,4976,77,0.5%,Samajwadi Party
13,Laldeo Ram,4432,77,0.5%,Bahujan Mukti Party
