Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Supriya Sule,521562,7800,48.9%,Nationalist Congress Party
2,Mahadev Jagannath Jankar,451843,7800,42.4%,Rashtriya Samaj Paksha
3,Suresh Khopade,26396,200,2.5%,Aam Aadmi Party
4,Chaudhari Kaluram Vinayak,24908,200,2.3%,Bahujan Samaj Party
5,Tatyasaheb Sitaram Tele,8811,200,0.8%,Janata Dal (Secular)
6,Ravindra Takale,7845,200,0.7%,Bahujan Mukti Party
7,Kokare Shivaji Jaysing,4739,200,0.4%,Independent
8,Sureshdada Baburao Veer,3345,200,0.3%,Independent
9,Mahadik Pralhad Dagadu,2891,200,0.3%,Independent
