Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Shripad Yesso Naik,237903,600,58.5%,Bharatiya Janta Party
2,Ravi Naik,132304,600,32.5%,Indian National Congress
3,Dr.Dattaram Desai,15857,200,3.9%,Aam Aadmi Party
4,Adv. Suhas Naik,5640,200,1.4%,Communist Party Of India
5,Dayanand G. Narvekar,4128,200,1.0%,Independent
6,Raju Dsouza,3216,200,0.8%,Samajwadi Janata Party (RASHTRIYA)
7,Mittu Mujavar,1813,200,0.4%,Independent
