Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Chirag Kumar Paswan,285354,2285,36.8%,Lok Jan Shakti Party
2,Sudhansu Shekhar Bhaskar,199407,2285,25.7%,Rashtriya Janata Dal
3,Uday Narain Choudhary,198599,2237,25.6%,Janata Dal (United)
4,Brahmdev Anand Paswan,15008,130,1.9%,Bahujan Samaj Party
5,Upendra Ravidas,10748,120,1.4%,Jharkhand Mukti Morcha
6,Subhash Paswan,10452,120,1.3%,Independent
7,Manoj Kumar Manjhi,8360,120,1.1%,Independent
8,Dilip Kumar,7635,120,1.0%,Independent
9,Vinod Kumar Das,7159,120,0.9%,Aam Aadmi Party
10,Vishun Choudhary,7147,120,0.9%,Shiv Sena
11,Jay Prakash Das,6253,109,0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
