Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vasava Parbhubhai Nagarbhai,622769,3200,51.6%,Bharatiya Janta Party
2,Chaudhari Tusharbhai Amarsinhbhai,498885,3200,41.4%,Indian National Congress
3,Chaudhari Revaben Shankarbhai,13270,200,1.1%,Communist Party Of India
4,Gamit Movaliyabhai Nopariyabhai,11625,200,1.0%,Bahujan Samaj Party
5,Chaudhari Chandubhai Machalabhai,10842,200,0.9%,Aam Aadmi Party
6,Rathod Rameshbhai Bhikhabhai,8607,200,0.7%,Independent
7,Jagatsinh Laljibhai Vasava,7321,200,0.6%,Janata Dal (United)
8,Gamit Surendrabhai Simabhai,5351,200,0.4%,Independent
9,Bhailalbhai Chhanabhai Rathod,5334,200,0.4%,Aadivasi Sena Party
10,Chaudhari Reniyabhai Shankarbhai,2184,200,0.2%,Hindusthan Nirman Dal
