Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ram Tahal Choudhary,448729,839,42.7%,Bharatiya Janta Party
2,Subodh Kant Sahay,249426,839,23.8%,Indian National Congress
3,Sudesh Kumar Mahto,142560,305,13.6%,Ajsu Party
4,Amitabh Choudhary,67712,172,6.5%,Jharkhand Vikas Morcha (Prajatantrik)
5,Bandhu Tirkey,46126,145,4.4%,All India Trinamool Congress
6,Vikas Chandra Sharma,14898,107,1.4%,Communist Party Of India (Marxist-Leninist) Red Star
7,Rajendra Singh Munda,10178,98,1.0%,Communist Party Of India (MARXIST)
8,Amanullah,8497,98,0.8%,Aam Aadmi Party
9,Kafilur Rahman,4696,98,0.4%,Independent
10,Yugeshwar Marar Deen,4409,98,0.4%,Manav Mukti Morcha
11,Man Singh Mardi,4240,98,0.4%,Jharkhand Party (NOREN)
12,Ram Lal Mahto,4190,98,0.4%,Socialist Unity Centre Of India (COMMUNIST)
13,Suresh Toppo,4085,98,0.4%,Jharkhand Disom Party
14,Bahadur Uraon,3877,98,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
15,Ranjit Mahto,3823,98,0.4%,Bahujan Mukti Party
16,Lal Jotindra Dev,3411,98,0.3%,Akhil Bhartiya Jharkhand Party
17,Balram Kumar Bedia,2889,98,0.3%,Independent
18,Durga Munda,2502,98,0.2%,Bahujan Samaj Party
19,Sajiya Haidar,2195,98,0.2%,Independent
20,Bisheshwar Mahto,2130,98,0.2%,Samata Party
21,Arsad Ayub,2083,98,0.2%,Independent
22,Amit Kumar Singh,1987,98,0.2%,Independent
23,Chintamani Mahto,1605,98,0.2%,Independent
24,Thaddeus Lakra,1504,98,0.1%,Independent
25,Birendra Kumar Jaiswal,1366,98,0.1%,Independent
26,Rampodo Mahto,1296,98,0.1%,Independent
27,Anjani Pandey,1250,98,0.1%,Independent
28,Abul Hasan,1219,98,0.1%,Independent
