Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vijay Kumar Hansdak,379507,16987,39.9%,Jharkhand Mukti Morcha
2,Hemlal Murmu,338170,16987,35.5%,Bharatiya Janta Party
3,Dr. Anil Murmu,97374,248,10.2%,Jharkhand Vikas Morcha (Prajatantrik)
4,Jyotin Soren,58034,172,6.1%,Communist Party Of India (MARXIST)
5,Krishna Singh,16354,111,1.7%,Indian Union Muslim League
6,Barnard Hembrom,8686,99,0.9%,Rashtriya Krantikari Samajwadi Party
7,Dr. Surae Soren,7906,99,0.8%,Independent
8,Tala Hansda,7661,99,0.8%,Independent
9,Arjun Prasad Singh,6761,99,0.7%,Ajsu Party
10,Suniram Hembrom,6460,99,0.7%,Independent
11,Arun Marandi,4775,99,0.5%,Bahujan Samaj Party
